wav_path,reference_text,hypothesis_phoneme,reference_phoneme,pronunciation_score
files\00026029e0--64991b6eef1fe70609d48edc\sad.wav,The delicious aroma of freshly baked bread filled the bakery.,ðədɪlɪʃɪsəɹoʊməhəfɹɛʃlɪbeɪtbɹɛdfɪldðəbeɪkʊi,ðədᵻlɪʃəsɚɹoʊməʌvfɹɛʃlibeɪktbɹɛdfɪldðəbeɪkɚɹi,1.0
files\00026029e0--64991b72e0daf97163c09c66\euphoric.wav,I enjoy taking long walks in the peaceful countryside.,aɪeɪnʤɔɪteɪkinlʊŋgwʊksɪnðɪpislkʊnʃiseɪd,aɪɛndʒɔɪteɪkɪŋlɔŋwɔːksɪnðəpiːsfəlkʌntɹɪsaɪd,0.7872
files\00026029e0--64991b7fd94c0d5726dec353\sad.wav,The suspenseful novel kept me on the edge of my seat.,ðɪsəboʊsfunɑvəkaʊʧmiɑnðiɛʤəvmaɪsɪd,ðəsəspɛnsfəlnɑːvəlkɛptmiːɔnðɪɛdʒʌvmaɪsiːt,0.6817
files\00026029e0--64991b907f82d9763944eba2\sad.wav,They celebrated their anniversary with a romantic candlelit dinner.,ðeɪseɪdɪbɪtɪðɛɾɛnivɝsivɪðɪɹəmɛntɪkɪndɪlaɪdɪnə,ðeɪsɛləbɹeɪɾᵻdðɛɹænɪvɜːsɚɹiwɪðɐɹoʊmæntɪkkændəllɪtdɪnɚ,0.6858
files\00026029e0--64991bfc63d8b20f56d0e1fb\surprised.wav,The rhythmic beat of the drums echoed through the concert hall.,tɹaɪtəmivutəðədɹəmzəʧɝtʊðəkənzɛntoʊ,ðəɹɪðmɪkbiːtʌvðədɹʌmzɛkoʊdθɹuːðəkɑːnsɚthɔːl,0.4
files\00026029e0--64991c0dd94c0d5726df032a\joyfully.wav,The curious child eagerly explored the vast museum exhibits.,dɪkuwɝʧɪlwɝɪgsplɑɹɪtəvɑsmuʃɪnɪksuz,ðəkjʊɹɹiəstʃaɪldiːɡɚliɛksplɔːɹdðəvæstmjuːziəmɛɡzɪbɪts,0.4
files\00026029e0--64991c3e63d8b20f56d0eeba\euphoric.wav,The innovative design of the new smartphone impressed tech enthusiasts.,ðiɪnəvɪtɪvdɪzaɪnəvðɪnjusmɑɹtfoʊnɪmfɹɛsdɛtɪntuziəz,ðɪɪnəveɪɾɪvdɪzaɪnʌvðənuːsmɑːɹtfoʊnɪmpɹɛsttɛkɛnθuːziæsts,0.9318
files\00026029e0--64991c9e7f82d97639452402\euphoric.wav,The innovative design of the new smartphone impressed tech enthusiasts.,ðɪinəvɪdivdɪzaɪnəvdɪnusmətfoʊnɪmpɹɪstɛtɪntuzɪst,ðɪɪnəveɪɾɪvdɪzaɪnʌvðənuːsmɑːɹtfoʊnɪmpɹɛsttɛkɛnθuːziæsts,0.9045
files\00026029e0--64992031e0daf97163c20229\euphoric.wav,The breathtaking view from the mountaintop took my breath away.,ðəbɹɛθteɪkiŋvufəmðəmaʊnsɪnsɑtukmaɪbɹɛθəweɪ,ðəbɹɛθteɪkɪŋvjuːfɹʌmðəmaʊntɪntɑːptʊkmaɪbɹɛθɐweɪ,1.0
files\00026029e0--64992044d94c0d5726dfffc7\sad.wav,His charismatic personality made him a natural leader among his peers.,hɪzkəðɪɪsmɑtɪkpəsənɛlɪtɪmɪdhɪmənɑʧɝɝlitəməŋhɪzpɪvz,hɪzkæɹɪsmæɾɪkpɜːsənælᵻɾimeɪdhɪmɐnætʃɚɹəlliːdɚɹɐmʌŋhɪzpɪɹz,0.7395
files\00026029e0--64992099ffab6240f9f3521f\joyfully.wav,The vibrant colors of the sunset painted the sky with beauty.,ðɪvaɪbɹɪnzkələsəlfdɪsənsɛtspeɪntɪɾɪskaɪfbjuti,ðəvaɪbɹəntkʌlɚzʌvðəsʌnsɛtpeɪntᵻdðəskaɪwɪðbjuːɾi,0.7479
files\00026029e0--649920f4ffab6240f9f3677a\sad.wav,The heartfelt apology melted away the tension in the room.,ðɪhətfɪltəpɑlʊʤɪmɪltɪdəeɪdɪtɛnʃənɪnðəɹum,ðəhɑːɹtfɛltɐpɑːlədʒimɛltᵻdɐweɪðətɛnʃənɪnðəɹuːm,0.863
files\00026029e0--64992143ffab6240f9f3787a\sad.wav,She wore a stunning gown that dazzled everyone at the party.,ʃiwʊəsfəniŋgəmbtdəzɪndɪvʃənəvðəpɑti,ʃiːwɔːɹɐstʌnɪŋɡaʊnðætdæzəldɛvɹɪwʌnætðəpɑːɹɾi,0.5295
files\00026029e0--64992161e0daf97163c2535a\surprised.wav,They celebrated their anniversary with a romantic candlelit dinner.,ðɪsɛlɪbɹɪkɝdɪɾɪŋwəʃiɪðəəmɛntɪkɛnidɪnə,ðeɪsɛləbɹeɪɾᵻdðɛɹænɪvɜːsɚɹiwɪðɐɹoʊmæntɪkkændəllɪtdɪnɚ,0.5726
files\00026029e0--64992202ea5ed167d5bce5d3\surprised.wav,The starry night sky filled their hearts with a sense of wonder.,ðəstɑɹinaɪtfɪlðɪhɑsuðɪsɛnsəvwəndeɪ,ðəstɑːɹinaɪtskaɪfɪldðɛɹhɑːɹtswɪðɐsɛnsʌvwʌndɚ,0.8364
files\00026029e0--6499226eef1fe70609d66276\surprised.wav,The athlete's dedication and hard work led to her victory.,ðɛθlusdɛdɪgɪʃɪnɪnpɑwɝklɛtuhɝɹɪkɹi,ðɪæθliːtsdɛdɪkeɪʃənændhɑːɹdwɜːklɛdtəhɜːvɪktɚɹi,0.7
